ShapeSize,#input,#output,#op,RealNdpxCost
4718592,1,1,1,212856
4718592,1,1,1,212304
4718592,1,1,1,212496
4718592,1,1,1,220974
4718592,1,1,1,212693
4718592,1,1,1,223916
4718592,1,1,1,222316
4718592,1,1,1,220966
4718592,1,1,1,220964
4718592,1,1,1,212888
4718592,1,1,1,241350
4718592,1,1,1,212463
4718592,1,1,1,213147
4718592,1,1,1,215706
4718592,1,1,1,241980
4718592,1,1,1,212787
4718592,1,1,1,220970
4718592,1,1,1,223773
4718592,1,1,1,220964
1572864,3,2,4,385919
1572864,7,2,13,428385
1179648,19,6,28,381955
1572864,6,5,10,970884
1572864,6,5,10,1000855
1536,40,12,61,2534
6144,37,12,58,3721
1536,45,14,70,1785
1536,82,23,126,2938
32,11,4,20,575
32,3,1,11,430
512,3,1,4,371
524288,4,2,13,86821
1024,25,2,34,785
262144,4,2,13,43460
16384,1,1,2,1047
16384,1,1,0,1044
16384,1,1,0,1044
32,4,1,13,430
32,3,1,5,406
32,2,1,1,342
262144,1,1,2,12089
524288,4,2,11,79313
262144,1,1,0,12087
524288,1,1,0,23863
32,1,1,1,335
16384,2,1,1,2295
32,2,1,1,340
32,4,2,4,367
15104,3,1,6,2186
1449984,6,1,6,230586
1449984,4,1,4,197459
1449984,3,1,2,187447
1449984,3,1,2,187821
1449984,3,1,2,198763
32,1,1,1,335
512,2,1,1,368
512,2,1,1,368
512,2,1,1,368
512,2,1,1,368
512,2,1,1,368
512,2,1,1,368
512,2,1,1,368
1024,2,1,1,391
512,2,1,1,368
512,2,1,1,368
1024,2,1,1,391
512,2,1,1,368
512,2,1,1,368
512,2,1,1,368
512,2,1,1,368
1024,2,1,1,391
512,2,1,1,368
512,2,1,1,368
512,2,1,1,368
256,3,1,2,350
98304,6,1,7,15159
98304,9,1,10,10663
98304,9,1,10,10195
98304,6,1,7,15297
98304,9,1,10,10962
98304,6,1,7,15760
98304,6,1,7,15041
98304,9,1,10,9938
12288,3,1,2,1786
512,2,1,1,368
98304,9,1,10,11564
98304,6,1,7,15318
98304,9,1,10,10797
98304,6,1,7,15627
32,4,2,4,378
512,2,1,1,368
512,2,1,1,368
512,2,1,1,370
512,2,1,1,381
12288,2,1,1,1831
12288,2,1,1,1831
12288,2,1,1,1830
512,2,1,1,368
12288,2,1,1,1830
12288,2,1,1,1830
12288,2,1,1,1831
12288,2,1,1,1830
12288,2,1,1,1830
12288,2,1,1,1830
12288,2,1,1,1830
12288,2,1,1,1830
12288,2,1,1,1860
12288,2,1,1,1830
12288,2,1,1,1830
12288,2,1,1,1830
512,2,1,1,368
512,2,1,1,368
512,2,1,1,368
512,2,1,1,368
512,2,1,1,368
1024,2,1,1,391
512,2,1,1,368
12288,2,1,1,1830
12288,2,1,1,1830
12288,2,1,1,1865
12288,2,1,1,1830
12288,2,1,1,1865
12288,2,1,1,1865
12288,2,1,1,1830
12288,2,1,1,1830
12288,2,1,1,1865
12288,2,1,1,1830
98304,8,3,13,28054
12288,8,0,8,1220
12288,8,0,8,1176
98304,8,3,13,29163
12288,8,0,8,1303
12288,8,0,8,1277
98304,8,3,13,29462
12288,8,0,8,1285
98304,8,3,13,28180
12288,8,0,8,1217
98304,8,3,13,27909
12288,8,0,8,1256
2818048,2,1,1,151993
3014656,3,1,2,160849
3014656,3,1,2,161777
2818048,3,1,2,151999
2818048,3,1,2,152776
3014656,3,1,2,161760
2818048,3,1,2,151171
2818048,3,1,2,149164
1884160,12,3,14,304437
3145728,1,1,1,141643
3145728,1,1,1,141745
3145728,1,1,1,141643
3145728,1,1,1,141745
512,57,18,74,1371
32,1,1,1,335
32,1,1,1,334
49152,1,1,1,2519
9216,1,1,1,725
6912,1,1,1,621
9216,1,1,1,725
12288,1,1,1,863
12288,1,1,1,863
12288,1,1,1,863
12288,1,1,1,863
12288,1,1,1,863
24576,1,1,1,1415
49152,1,1,1,2519
6912,1,1,1,621
49152,1,1,1,2519
49152,1,1,1,2519
49152,1,1,1,2519
49152,1,1,1,2519
73728,1,1,1,3623
110592,1,1,1,5278
110592,1,1,1,5278
110592,1,1,1,5278
110592,1,1,1,5278
110592,1,1,1,5278
6912,1,1,1,621
17280,1,1,1,1089
129024,2,1,2,16070
17280,1,1,1,1088
17280,1,1,1,1088
10368,1,1,1,780
10368,1,1,1,780
10368,1,1,1,780
6912,1,1,1,621
6912,1,1,1,621
6912,1,1,1,621
49152,1,1,1,2519
3456,1,1,1,468
3456,1,1,1,468
3456,1,1,1,468
2592,1,1,1,428
2592,1,1,1,428
1728,1,1,1,391
576,1,1,1,340
1024,1,1,1,340
3072,1,1,1,433
6144,1,1,1,571
128,3,1,8,440
110592,1,1,1,5278
110592,1,1,1,5278
110592,1,1,1,5278
73728,1,1,1,3623
49152,1,1,1,2519
49152,1,1,1,2519
49152,1,1,1,2519
49152,1,1,1,2519
49152,1,1,1,2519
49152,1,1,1,2519
49152,1,1,1,2519
24576,1,1,1,1415
12288,1,1,1,862
12288,1,1,1,863
128,2,1,3,336
12288,1,1,1,863
12288,1,1,1,862
12288,1,1,1,863
9216,1,1,1,725
6912,1,1,1,621
9216,1,1,1,725
6912,1,1,1,621
6144,1,1,1,571
3072,1,1,1,448
1024,1,1,1,340
32,2,1,1,399
128,2,1,1,354
110592,1,1,1,5278
110592,1,1,1,5277
184320,1,1,1,8592
184320,1,1,1,8592
307200,1,1,1,14114
307200,1,1,1,14114
129024,2,1,4,17278
614400,1,1,1,27910
819200,1,1,1,37112
307200,1,1,1,14114
307200,1,1,1,14114
307200,1,1,1,14114
307200,1,1,1,14114
307200,1,1,1,14113
307200,1,1,1,14114
307200,1,1,1,14114
129024,1,1,1,6106
163840,1,1,2,7678
307200,1,1,1,14114
614400,1,1,1,27910
819200,1,1,1,37112
2580480,1,1,1,118806
819200,7,3,14,131961
614400,7,3,14,98646
307200,11,6,27,98970
307200,15,9,40,148495
184320,7,3,14,29213
24576,7,3,14,3816
9216,7,3,14,1551
73728,7,3,14,11754
9216,7,3,14,1551
110592,11,6,27,35492
110592,15,9,40,53039
41472,11,6,27,12958
2016,7,3,15,682
12288,11,6,27,3745
276480,15,9,40,133574
165888,15,9,40,79859
2560,15,8,40,1312
640,15,8,40,950
2580480,7,3,14,416781
32,1,1,1,335
3211264,6,5,10,1928704
1605632,6,5,10,971609
32,2,1,1,399
64512,3,2,3,9689
73728,1,1,1,3623
73728,1,1,1,3623
73728,1,1,1,3623
73728,1,1,1,3624
147456,1,1,1,6937
16384,1,1,1,1047
65536,1,1,1,3253
6422528,9,1,29,992388
32768,1,1,2,1786
64512,1,1,1,3209
32,2,1,1,342
64,3,1,8,473
